,mouse,location,network,mean_surr_score,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,Mouse04203,ctr,1,0.1082913348875969,0.1032796684827586,0.11009091293103448,0.10975929496551726,0.10792794779310348,0.11233130906896552,0.1093842201724138,0.11252447351724137,0.11138732310714287,0.11470648121428571,0.10764137849999998,0.10441960896428573
1,Mouse39115,ctr,1,0.09707731268619248,0.08109932841463414,0.0824258372,0.08294093352499998,0.08166083823076922,0.0844754756923077,0.0848394636097561,0.08413804058536584,0.08420843036585365,0.08525002826829266,0.08671969899999998,0.08392851122500002
2,Mouse39121,ctr,1,0.15516674078656126,0.15557521522222223,0.15552478596296296,0.1542330956153846,0.1405084740384615,0.15350267603571427,0.1500548628571429,0.15694179142857148,0.16141006777777778,0.1633015007692308,0.15236644160714288,0.15847789964285716
3,Mouse39122,ctr,1,0.07886850171544715,0.08090784262500002,0.0785364189090909,0.074872369875,0.08099052329032258,0.08199572403124998,0.0921823578181818,0.0904879596875,0.08201647940624998,0.07442596190624999,0.07861854903225804,0.08037621272727272
4,Mouse39132,ctr,1,0.13013030611158796,0.12901303825000002,0.13404317093749998,0.13280982247916664,0.13656044618750005,0.14378037744897956,0.14254005250000001,0.14162546634693876,0.13719276624,0.13917323295918366,0.131358333125,0.13519180595833333
5,Mouse39135,ctr,1,0.08017527543939394,0.07533657618749999,0.07656823745945947,0.08044807251351352,0.08278004861764707,0.07991149883783781,0.08029130311627908,0.08014519738095237,0.08184129025641027,0.07931993608333336,0.07903995263636364,0.07825390173529415
6,Mouse69061,ctr,1,0.09724963225000001,0.09496123824074074,0.09299918877777778,0.08996292890384615,0.08934683920754713,0.09194584137037036,0.09575681825925925,0.09627327322641512,0.09060231501960785,0.09278225998039213,0.09269338549999998,0.0932636025769231
7,Mouse69071,ctr,1,0.1223979810897436,0.1162044239375,0.11249656166666666,0.11034055077142854,0.11337342021212121,0.11221954309090909,0.11073772781578946,0.11251292615151513,0.11027395577142858,0.12004290851428569,0.11618093827777777,0.10735060814285716
8,Mouse69075,ctr,1,0.10591224981742739,0.10528351760416671,0.10585198283333334,0.10463579785416666,0.09988376204166666,0.10242432043750001,0.10638621974999997,0.10590502210416662,0.10660416914583333,0.10268851361702126,0.10350655974468083,0.10279437281249999
9,Mouse04203,surr,1,0.1082913348875969,0.10911572863921573,0.10850398936078436,0.10827706945098044,0.10861237783921573,0.10796607823046882,0.10829133488759694,0.10792488238281256,0.10827779552343758,0.10791654682031256,0.10866209301562504,0.10897744416796881
10,Mouse39115,surr,1,0.09707731268619248,0.09840243103070181,0.09810426135371186,0.09847606394347834,0.09799218151724141,0.09746624959829064,0.09727211323109247,0.09727499074137934,0.09686646666956526,0.0968791004759826,0.09696549681497804,0.09702979247368428
11,Mouse39121,surr,1,0.15516674078656126,0.155212012277551,0.15457564195102041,0.1546065512024292,0.1564688085934959,0.15509218963265312,0.15516674078656129,0.1544047872408163,0.15394861345121952,0.1539381149717742,0.15493283655510207,0.15369561776016263
12,Mouse39122,surr,1,0.07886850171544715,0.08110490824789916,0.0805899977257384,0.08104136951476791,0.08002464854393303,0.08026700471428569,0.07886850171544713,0.07891000362605044,0.07942708957142854,0.08046667910126579,0.08047850526359832,0.08024743577215193
