,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.0768563704,0.0579879382,0.05205716880000001
1,Mouse0913,clck,center->open,0.05134551966666667,0.062934086,0.0675048665
2,Mouse2401,clck,center->open,0.06953585,0.07996724666666667,0.055908588
3,Mouse3881,clck,center->open,0.09833237,0.093268598,0.09489738866666668
4,Mouse3882,clck,center->open,0.05615688566666668,0.07837672333333333,0.05715919333333334
5,Mouse3883,clck,center->open,0.07243880324999999,0.07294455775,0.064219314625
6,Mouse69841,clck,center->open,0.08548095,0.0468406575,0.0062418661
7,Mouse69872,clck,center->open,0.0295952094,0.0354515272,0.0384938632
8,Mouse69873,clck,center->open,0.0682697825,0.041232246,0.0945333175
9,Mouse0914,wt,center->open,0.09460918,0.031500988,0.07606058
10,Mouse2402,wt,center->open,0.0672875955,0.06293278749999999,0.045806097750000004
11,Mouse2403,wt,center->open,0.0557303835,0.06564531525,0.060965097499999996
12,Mouse30391,wt,center->open,0.020357794,0.0184105895,0.026495368
13,Mouse30392,wt,center->open,0.016091272,0.029421661,0.04981284
