,mouse,geno,decision,-2,-1,0
0,Mouse0914,wt,center->open,0.16712497,0.15091324,0.23686482
1,Mouse2402,wt,center->open,0.14993717575,0.08775438675,0.105679345925
2,Mouse2403,wt,center->open,0.128491731,0.1801021975,0.16119720999999998
3,Mouse30391,wt,center->open,0.16872123,0.1938127,0.22995775999999998
4,Mouse30392,wt,center->open,0.19057001,0.13740548,0.16561773
5,Mouse0911,wt,center->closed,0.22821957,0.18543959,0.26532155
6,Mouse0914,wt,center->closed,0.1920227121428571,0.19688197428571427,0.20658428614285715
7,Mouse2402,wt,center->closed,0.13609546661904764,0.10954782609523812,0.11515010619047619
8,Mouse2403,wt,center->closed,0.14580854499999998,0.16089346571428573,0.15071301957142857
9,Mouse30391,wt,center->closed,0.16767504037499997,0.15020521750000004,0.17749390499999998
10,Mouse30392,wt,center->closed,0.12630885828571428,0.15020611642857143,0.13626029
11,Mouse69861,wt,center->closed,0.11129326583333334,0.14659993500000001,0.11077412316666664
12,Mouse69862,wt,center->closed,0.1462744263529412,0.14221400976470588,0.11885553147058825
