,mouse,geno,decision,-2,-1,0
0,Mouse0912,clck,center->open,0.0685124402,0.053171497,0.0408351962
1,Mouse0913,clck,center->open,0.04256670983333333,0.060010164166666664,0.04673769349999999
2,Mouse2401,clck,center->open,0.07450691999999999,0.08237805333333333,0.07989505
3,Mouse3881,clck,center->open,0.06903308233333333,0.08665415,0.07496716066666666
4,Mouse3882,clck,center->open,0.11759579533333335,0.092888794,0.13319455666666666
5,Mouse3883,clck,center->open,0.107513232125,0.1120634645,0.11764214075
6,Mouse69841,clck,center->open,0.08634989,0.071719285,0.10242631999999999
7,Mouse69872,clck,center->open,0.079907397,0.0948915388,0.09615029280000001
8,Mouse69873,clck,center->open,0.188756055,0.13147639500000002,0.104232935
9,Mouse0914,wt,center->open,0.13725604,0.114265576,0.11206759
10,Mouse2402,wt,center->open,0.05712983275,0.0425457295,0.043743572450000004
11,Mouse2403,wt,center->open,0.08370833250000001,0.09585031100000001,0.090520595
12,Mouse30391,wt,center->open,0.107508095,0.11581496,0.123376045
13,Mouse30392,wt,center->open,0.15019602,0.12134833,0.09308807
